,song,year,artist,genre,lyrics,video_path,most_predominant_topic
14,nothing,1990,dwight-yoakam,Country,I couldn't change your heart I couldn't change your mind So I just had to learn to live with This empty life you left behind You didn't try to hear You didn't try to see No you just stared right Through the teardrops Like there was nothing left of me Nothing but sorrow Nothing but pain Nothing but memories that Whisper your name Nothing but sadness Nothing but fear Nothing but silence is heard Around here Bridges were burned oh Lessons were learned Promises made that were broken Tender lies softly spoken You didn't try to hear You didn't try to see You just stared right Through the teardrops Like there was nothing left of me Nothing but sorrow nothing but sorrow Nothing but pain nothing Nothing but memories that Whisper your name Nothing but sadness nothing but sadness Nothing but fear nothing Nothing but silence is heard Around here heard around here Nothing but sorrow nothing but sorrow Nothing but pain nothing Nothing but memories that Whisper your name whisper your name Nothing but sadness nothing but sadness Nothing but fear nothing Nothing but silence is heard Around here heard around here I couldn't change your heart,https://www.youtube.com/watch?v=UeuRMOkaohY,topic_12
336,sharp-dressed-man,2002,brad-paisley,Country,Clean shirt new shoes And I don't know where I am goin to Silk suit black tie I don't need a reason why They come runnin just as fast as they can 'Cause every girl crazy bout a sharp dressed man Gold watch diamond ring I ain't missin not a single thing And cufflinks stick pin When I step out I'm gonna do you in They come runnin just as fast as they can 'Cause every girl crazy bout a sharp dressed man Top coat top hat I don't worry cause my wallet's fat Black shades white gloves Lookin sharp and lookin for love They come runnin just as fast as they can 'Cause every girl grazy bout a sharp dressed man,https://www.youtube.com/watch?v=cRTYU7SxnaM,topic_12
325,something-in-the-water,2014,carrie-underwood,Country,"He said ""I've been where you've been before Down every hallway's a slamming door "" No way out no one to come and save me Wasting a life that the Good Lord gave me Then somebody said what I'm saying to you Opened my eyes and told me the truth "" They said ""Just a little faith it'll all get better "" So I followed that preacher man down to the river And now I'm changed And now I'm stronger There must've been something in the water Oh there must've been something in the water Well I heard what he said and I went on my way Didn't think about it for a couple of days Then it hit me like a lightning late one night I was all out of hope and all out of fight Couldn't fight back the tears so I fell on my knees Saying ""God if you're there come and rescue me "" Felt love pouring down from above Got washed in the water washed in the blood And now I'm changed And now I'm stronger There must be something in the water Oh there must be something in the water And now I'm singing along to amazing grace Can't nobody wipe this smile off my face Got joy in my heart angels on my side Thank God almighty I saw the light Gonna look ahead no turning back Live everyday give it all that I have Trust in someone bigger than me Ever since the day that I believed I am changed And now I'm stronger There must be something in the water Oh there must be something in the water Oh there must be something in the water Oh there must be something in the water Oh yeah I am changed Stronger",https://www.youtube.com/watch?v=mH9kYn4L8TI,topic_13
327,all-i-can-be-is-a-sweet-memory,1991,collin-raye,Country,All I can be Is a sweet memory That drifts through your mind From time to time I can never be more Than a knock on your door Just a shadow that's gone With the sunshine For you know I'm not free And I never can be And you're bound To get restless in time All I can be Is a sweet memory That drifts through your mind Tonight I shed A silent tear While lyin here with you The sands of time Have trickled down To just a precious few You're young and so beautiful And I'm so glad I'm here But the ending is painfully clear All I can be Is a sweet memory Of someone you had To leave behind Who loves you and needs you But never could give you The ring for your finger so fine So tonight we'll just borrow Each other tomorrow We'll find that we've run out of time And all I can be Is a sweet memory That drifts through your mind For you know I'm not free All I can be Is a sweet memory That drifts through your mind,https://www.youtube.com/watch?v=G9Z7u2e6MVg,topic_13
330,gentle-on-my-mind,2015,the-band-perry,Country,It's knowing that your door is always open And your path is free to walk That makes me tend to leave my sleeping bag Rolled up and stashed behind your couch And it's knowing I'm not shackled By forgotten words and bonds And the ink stains that are dried upon some line That keeps you on the back roads By the rivers of my memory That keeps you ever gentle on my mind It's not clinging to the rocks and ivy Planted on their columns now that bind me Or something that somebody said Because they thought we fit together walking It's just knowing that the world will not be cursing Or forgiving when I walk along some railroad track and find That you're moving on the back roads By the rivers of my memory And for hours you're just gentle on my mind Though the wheat fields and the clothes lines And the junkyards and the highways come between us And some other woman's cryin to her mother 'Cause she turned and I was gone I still might run in silence tears of joy might stain my face And the summer sun might burn me til I'm blind Oh but not to where I cannot see you walkin on the back roads By the rivers flowing gentle on my mind I dip my cup of soup back from a gurglin' Cracklin caldron in some train yard My beard a rustling a cold towel A dirty hat pulled low across my face across my face Through cupped hands round the tin can I pretend to hold you to my breast and find That you're waiting from the back roads By the rivers of my memories Ever smilin ever gentle on my mind Gentle on my mind You are gentle on my mind,https://www.youtube.com/watch?v=BuVJEn9wk9Y,topic_13
352,the-one-that-got-away,2013,the-civil-wars,Country,I never meant to get us in this deep I never meant for this to mean a thing Oh I wish you were the one Wish you were the one that got away I got caught up by the chase And you got high on every little bit I wish you were the one Wish you were the one that got away Oh if I could go back in time When you only held me in my mind Just a longing gone without a trace Oh I wish I never ever seen your face I wish you were the one Wish you were the one that got away I miss the way you wanted me When I was staying just out of your reach Begging for the slightest touch Ooh you couldn't get enough mmm Oh if I could go back in time When you only held me in my mind Just a longing gone without a trace Oh I wish I never ever seen your face I wish you were the one Wish you were the one that got away Got away from me Got away from me For anybody has to breathe Oh if I could go back in time When you only held me in my mind Just a longing gone without a trace Oh I wish I never ever seen your face I wish you were the one I wish you were the one Oh I wish you were the one I wish you were the one that got away,https://www.youtube.com/watch?v=MnkM_ebv9BI,topic_13
1,temporary-home,2009,carrie-underwood,Country,"Little boy six years old A little too used to bein alone Another new mom and dad another school Another house that'll never be home When people ask him how he likes this place He looks up and says with a smile upon his face ""This is my temporary home It's not where I belong Windows in rooms that I'm passin through This is just a stop on the way to where I'm going I'm not afraid because I know this is my Temporary home "" Young mom on her own She needs a little help got nowhere to go She's lookin for a job lookin for a way out 'Cause a half way house will never be a home At night she whispers to her baby girl Someday we'll find a place here in this world ""This is our temporary home It's not where we belong Windows in rooms that we're passin through This is just a stop on the way to where we're going I'm not afraid because I know this is our Temporary Home "" Old man hospital bed The room is filled with people he loves And he whispers don't cry for me I'll see you all someday He looks up and says ""I can see God's face"" ""This is my temporary Home It's not where I belong Windows in rooms that I'm passin through This was just a stop on the way to where I'm going I'm not afraid because I know this was My temporary home "" This is our temporary home",https://www.youtube.com/watch?v=LraOiHUltak,topic_14
4,little-moments,2010,brad-paisley,Country,Well I'll never forget the first time that I heard That pretty mouth say that dirty word And I can't even remember now what she backed my truck into But she covered her mouth and her face got red And she just looked so darn cute That I couldn't even act like I was mad Yeah I live for little moments like that Well that's just like last year on my birthday She lost all track of time and burnt the cake And every smoke detector in the house was goin off And she was just about to cry until I took her in my arms And I tried not to let her see me laugh Yeah I live for little moments like that I know she's not perfect but she tries so hard for me And I thank God that she isn't cause how boring would that be It's the little imperfections it's the sudden change in plans When she misreads the directions and we're lost but holding hands Yeah I live for little moments like that When she's layin on my shoulder on the sofa in the dark And about the time she falls asleep so does my right arm And I want so bad to move it cause it's tinglin and it's numb But she looks so much like an angel that I don't wanna wake her up Yeah I live for little moments When she steals my heart again and doesn't even know it Yeah I live for little moments like that,https://www.youtube.com/watch?v=vBErCVNP6rM,topic_15
15,precious-memories,2006,alan-jackson,Country,Precious memories unseen angels Sent from somewhere to my soul How they linger ever near me And the sacred past unfolds Precious memories how they linger How they ever flood my soul In the stillness of the midnight Precious sacred scenes unfold Precious father loving mother Fly across the lonely years And old home scenes of my childhood In fond memory appears Precious memories how they linger How they ever flood my soul In the stillness of the midnight Precious sacred scenes unfold I remember Mother praying Father too on bended knee The sun is sinking shadows falling But their prayers still follow me Precious memories how they linger How they ever flood my soul In the stillness of the midnight Precious sacred scenes unfold Precious memories fill my soul,https://www.youtube.com/watch?v=dhGOFC3kPDc,topic_15
347,this,2008,darius-rucker,Country,Got a baby girl sleepin in my bedroom And her momma laughing in my arms There's a sound of rain on the rooftop And the game's about to start I don't really know how I got here But I'm so glad that I did And it's crazy to think that one little thing Could have changed all of this Maybe it didn't turn out like I planned Maybe that's why I'm such such a lucky man For every stoplight I didn't make Every chance I did or I didn't take All the nights I went too far All the girls that broke my heart All the doors that I had to close All the things I knew but I didn't know Thank God for all I missed 'Cause it led me here to this Like the girl that I loved in high school Who said she could do better Or the college I wanted to go to Till I got that letter All the fights and the tears and the heartache I thought I'd never get through And the moment I almost gave up All led me here to you I didn't understand it way back when But sittin here right now It all makes perfect sense Every stoplight I didn't make Every chance I did or I didn't take All the nights I went too far All the girls that broke my heart All the doors that I had to close All the things I knew but I didn't know Thank God for all I missed 'Cause it led me here to this Oh I cried when my momma passed away And now I got an angel Looking out for me today So nothing's a mistake Every stoplight I didn't make Every chance I did or I didn't take All the nights I went too far All the girls that broke my heart All the doors that I had to close Everything I knew but I didn't know Thank God for all I missed 'Cause it led me here to this It led me here to this,https://www.youtube.com/watch?v=hvKyBcCDOB4,topic_15
350,crazy-girl,2011,eli-young-band,Country,Baby why you wanna cry You really oughta know that I Just have to walk away sometimes We're gonna do what lovers do We're gonna have a fight or two But I ain't ever changin my mind Crazy girl don't you know that I love you And I wouldn't dream of goin nowhere Silly woman come here let me hold you Have I told you lately I love you like crazy girl Wouldn't miss a single day I'd probably just fade away Without you I'd lose my mind Before you ever came along I was living life all wrong Crazy girl don't you know that I love you And I wouldn't dream of goin nowhere Silly woman come here let me hold you Have I told you lately I love you like crazy girl Crazy girl Crazy girl don't you know that I love you And I wouldn't dream of goin nowhere Silly woman come here let me hold you Have I told you lately I love you like Crazy girl don't you know that I love you And I wouldn't dream of goin nowhere Silly woman come here let me hold you Have I told you lately I love you like crazy girl Like crazy Crazy girl Like crazy Crazy girl Like crazy,https://www.youtube.com/watch?v=J3HwFtdVTfM,topic_16
2,pistol,2007,dustin-kensrue,Country,Love how you curse when I wake you up Sweetly demand that I fill your cup With the smile of your cool gunpowder glare Honey you lay me bare You're the girl of my dreams And a pistol it seems but you shoot me straight and true Time to lay down my bets Oh I put all my money on you When I'm in the dark girl you bring me light It seems like you're almost always right So keep boxing my ears when I sew them shut Baby you sure are tough You're the girl of my dreams And a pistol it seems but you shoot me straight and true Time to lay down my fears Honey I feel so safe around you If the tiller man taught me anything It's that a hard headed woman is what I need To help me to always do my best Baby my life is blessed You're the girl of my dreams Darling please wear this ring You're an angel through and through Time to lay down my life Honey I'd do it gladly for you Time to lay down my life Honey I'd do it gladly for you,https://www.youtube.com/watch?v=72D49j0RcPs,topic_17
351,guys-like-me,2006,eric-church,Country,I wear a greasy ball cap I like my shirt un tucked I spend Saturdays working on my truck I don't like to fight But I ain't scared to bleed Most don't mess with a guy like me 'Cause guys like me drink too many beers on Friday after work Our best blue jeans have Skoal rings We wear our boots to church So rough around the edges It's hard to believe that girls like you Love guys like me Your daddy worked at the bank Mine worked on cars You went to college I pulled graveyard You must have had your pick Of all the trust fund types But you came back to me and only God knows why 'Cause guys like me drink too many beers on Friday after work Our best blue jeans have Skoal rings We wear our boots to church So rough around the edges It's hard to believe that girls like you Love guys like me Now there's a lot of guys like me out there In a lot of little towns And tellin all our buddies we won't ever settle down We say that's just the way we are and the way we'll always be So God sends girls like you for guys like me Thank God there's girls like you for guys like me,https://www.youtube.com/watch?v=Qk602Y66UgI,topic_18
10,friends,2013,blake-shelton,Country,Oh There's a moment in this journey that I gave up My boots just couldn't walk another mile And that cloud above me had no silver lining I couldn't buy a break with my last dime Oh but when I saw you standing in the corner I'd never thought that you would have my back But then we rolled in like the thunder and the lightning Threw some punches then we had a laugh Just some roughed up desperados Hanging tough through thick and thin Kicking up dust wherever we go I can see that you and me are gonna be friends Who'd thought we'd wind up here together It's crazy that we're standing side by side Fighting just like two birds of a feather Who's gonna tell us now that we can't fly Just some roughed up desperados Hanging tough through thick and thin Kicking up dust wherever we go And I can see that you and me are gonna be friends To the end you and me are gonna be friends Yeah Here we go Hey hey you and me Different as different can be You like to rock I like to roll You take the high I'll take the low Woah woah oh woah oh Just some roughed up desperadoes Hanging tough through thick and thin Kicking up dust wherever we go I can see that you and me are gonna be friends To the end you and me are gonna be friends And I can see that you and me are gonna be friends yeah,https://www.youtube.com/watch?v=Z2tzzDtDw-k,topic_19
338,black,2016,dierks-bentley,Country,The moon outside Too bright those blinds yeah lets just keep them closed You know my hands they know where to go to find your finger tips Trace them back to your lips take you on a trip flip that switch Make my world go black hit me like a heart attack knock me flat on my back yeah Just keep doing that that thing you're doing there brush me with your hair I swear I don't know how long that I can last Make my world go black black Make my world go black black Like your dress on the floor yeah the one you don't need anymore Black like a sky with no stars just find me and fall into my arms And make my world go black hit me like a heart attack knock me flat on my back yeah Just keep doing that that thing you're doing there brush me with your hair I swear I don't know how long that I can last Make my world go black Make my world go black I don't wanna see a thing baby I just wanna feel your touch feel your rush I don't wanna see a thing I just wanna feel your love Make my world go black hit me like a heart attack knock me flat on my back yeah Just keep doing that that thing you're doing there brush me with your hair I swear I don't know how long that I can last Make my world go black black Make my world go black Make my world go black I don't wanna see a thing I just wanna feel your touch feel your rush Black Black,https://www.youtube.com/watch?v=SPoJJ7D4knk,topic_19
339,every-time-i-hear-that-song,2016,blake-shelton,Country,There's something bout yesterday How fast it all flies away I don't know what it is about a goodbye kiss That makes you wanna stay We were crazy then we were over We were breaking up making love a runaway roller coaster Every time I hear that song I'm standing in the pouring rain On your front lawn and oh oh oh I still think about you oh oh oh Every time I hear that song It's like the first time it came on and oh oh oh I still think about you oh oh oh I still think about you There's something in the bittersweet The feeling of a memory Right there in the moment All I ever wanted was you and me We were crying we were wasted We were dying when they played it Every time I hear that song I'm standing in the pouring rain On your front lawn and oh oh oh I still think about you oh oh oh Every time I hear that song It's like the first time it came on and oh oh oh I still think about you oh oh oh I still think about you Oh I still think about you There's a soundtrack in my mind That takes me back in time When I hear that melody I think about you and me Every time I hear that song I'm standing in the pouring rain On your front lawn and oh oh oh I still think about you oh oh oh Every time I hear that song It's like the first time it came on and oh oh oh I still think about you oh oh oh I still think about you Oh I still think about you I still think about you Yeah I still think about you There's a soundtrack in my mind That takes me back in time When I hear that melody,https://www.youtube.com/watch?v=EfZfURgx9b0,topic_19
5,small-town-southern-man,2008,alan-jackson,Country,Born the middle son Of a farmer And a small town Southern man Like his daddy's Daddy before him Brought up Workin on the land Fell in love With a small town woman And they married up And settled down Natural way of life If you're lucky For a small town Southern man First there came Four pretty daughters For this small town Southern man Then a few years Later came another A boy he wasn't planned Seven people Living all together In a house built With his own hands Little words with love And understanding From a small town Southern man And he bowed His head to Jesus And he stood For Uncle Sam And he only loved One woman He was always proud Of what he had He said His greatest contribution Is the ones You leave behind Raised on the ways And gentle kindness Of a small town Southern man Raised on the ways And gentle kindness Of a small town Southern man Callous hands Told the story For this small town Southern man He gave it all To keep it all together And keep his family On his land Like his daddy Years wore out his body Made it hard Just to walk And stand You can break the back But you can't break The spirit Of a small town Southern man And he bowed His head to Jesus And he stood For Uncle Sam And he only loved One woman He was always proud Of what he had He said His greatest contribution Is the ones You leave behind Raised on the ways And gentle kindness Of a small town Southern man Raised on the ways And gentle kindness Of a small town Southern man Finally death Came callin' For this small town Southern man He said it's alright 'Cause I see angels And they got me By the hand Don't you cry And don't you worry I'm blessed And I know I am 'Cause God Has a place in heaven For a small town Southern man And he bowed His head to Jesus And he stood For Uncle Sam And he only loved One woman He was always proud Of what he had He said His greatest contribution Is the ones You leave behind Raised on the ways And gentle kindness Of a small town Southern man Raised on the ways And gentle kindness Of a small town Southern man,https://www.youtube.com/watch?v=5zwq9RCeISY,topic_21
6,smoke-a-little-smoke,2009,eric-church,Country,Turn the quiet up turn the noise down Let this ol world just spin around I wanna feel it swing wanna feel it sway And put some feel good in my soul Drink a little drink smoke a little smoke Wanna little more right and a little less left Little more right now a little less what's next Act like tomorrow's ten years away And just kick back and let the feelin flow Drink a little drink smoke a little smoke yeah I set my sails for a new direction But the wind got in my way I changed my course but my definition of change Just ain't the same I'm gonna sit right here stay away from there I'm gon make pretend I just don't care I could get up go get her back Or maybe I'll just let her go Drink a little drink smoke a little smoke yeah Yeah go get her back oh Drink a little drink smoke a little smoke Drink a little drink smoke a little smoke I kick back give the blues spin Break out the wine forget again Dig down deep find my stash Light it up take me back I kick back give the blues spin Break out the wine just forget again Dig down deep strike my stash Light it up memory crash Oh no I don't know baby my take on life Maybe break out that old rock and roll Drink a little drink smoke a little smoke Gon drink a little drink smoke a little smoke yea,https://www.youtube.com/watch?v=XxWjtWONuGc,topic_21
