,,song,year,artist,genre,lyrics,video_path
Electronic,7530,a-matter-of-time,2014,dillon,Electronic,Rain drops trees rise Valleys sink and seas defy It's only a matter of time Temperatures rise Mountains peak Skies fall flats tire It's only a matter of time With the waves Cutting air I give way Call us trade Rain fills my eyes In the sea I lose my mind I'm only a matter of time When we collide Mountains peak Skies fall flats tire We're only a matter of time With the waves Cutting air I give way Call us trade Rain drops trees rise Mountains peak Skies fall flats tire It's only a matter of time Rain drops fill my eyes In the sea I lose my mind I'm only a matter of time,https://www.youtube.com/watch?v=nHRSbXgkpPM
Electronic,159320,rock-this-party,2006,bob-sinclar,Electronic,Soul clap Get up get up Yeah woah Me wanna see everybody on move Dance all Dollarman coming at ya We just wanna big up Cutee be Bob Sinclar It's like dancing listen it It's the way just bounce Yeah Everybody dance now Let's go Whoo Let's go Make it hot Come on Let's go Rock rock say what rock Let's go Everybody dance now Rock this party Dance everybody Make it hot in this party Don't stop move your body Rock this party Dance everybody Make it hot in this party Everybody dance now Don't know what's on your mind You comfy have a good time Why shake your behind I'm in a dancing mood Yall know I'm feeling good This is my favorite tune Put on your dancing shoes Gonna make you feel so good tonight Yall we gonna make you feel alright I came to rock at this party Cause I can make you feel alright Sweet boy you're rocking your body I'll get you straight to the night Oh oh you want this party Oh oh you want it now Sweet boy you're rocking your body Cause I'm gonna make you mine tonight Do do do do Let's go Do do do do Whoo Do do do do Let's go Dance Now everybody move move Now everybody shake shake Now everybody Everybody dance now Dance Don't stand a chance Gotta look better than then And dress nicer than then Hold me tight ya'll hold me tight what Hold me waist ya'll hold me waist ya'll what Wipe me off Let's go Just dry me off Do do do do Let's go Do do do do Do do do do Let's go Dance Now everybody move move Now everybody shake shake Now everybody Everybody dance now Tell em so you are the best You look better then You look better You just better then You just better Shake you body Shake you body Show them your move Show them your move ,https://www.youtube.com/watch?v=6wOfzs7lSFc
Electronic,121953,hey,2016,fais,Electronic,I seen the look in your face Telling me a story You don't have to be alone I love to see you smiling Why you try to hide it Don't you know you've got it all I know when you're gone You do your thing And you live like you want I know when you're gone You're just looking for a little sign of love I said hey Won't you come with me I said hey hey Hey won't you stay with me I said hey hey I said hey Won't you come with me I said hey hey Hey won't you stay with me I said hey hey See the way you moving No need for introducing You're everything a man could want You and I we both know Only one with this course Baby let me take you home I know when you're gone You do your thing And you live like you want I know when you're gone All you're looking for is a little sign of love I said hey Won't you come with me I said hey hey Hey won't you stay with me I said hey hey I said hey Won't you come with me I said hey hey Hey won't you stay with me I said hey hey I said hey Won't you come with me I said hey hey Hey oh won't you stay with me I said hey hey,https://www.youtube.com/watch?v=xHUIbFNO0II
Electronic,186792,i-wanna-know,2016,alesso,Electronic,I've been hit by stars a beauty you are a beauty you are Day turns into night you light up my dark you light up my dark You're the one that I see waking up next to me And I hope it's the same for you But you play with my mind when you send me these signs And I see other guys get em too I wanna know I wanna know Hey ey ey hey ey ey Where do we go where do we go From hey ey ey hey ey ey Why are you keeping me on hold Don't wanna leave this place alone Is it a yes or is it no ahwoo I wanna know I wanna know Hey ey ey hey ey ey Diamonds in your eyes cover your lies cover your lies Trust me we can be special tonight special tonight You're the one that I see waking up next to me And I hope it's the same for you But you play with my mind when you send me these signs And I see other guys get em too I wanna know I wanna know Hey ey ey hey ey ey Where do we go where do we go From hey ey ey hey ey ey Why are you keeping me on hold Don't wanna leave this place alone Is it a yes or is it no ahwoo I wanna know I wanna know Hey ey ey hey ey ey Oh oh oh Trust me we can be special tonight special tonight I wanna know I wanna know Hey ey ey hey ey ey I want you Where do we go where do we go From hey ey ey hey ey ey I want you Why are you keeping me on hold Don't wanna leave this place alone Is it a yes or is it no ahwoo I wanna know I wanna know Hey ey ey hey ey ey,https://www.youtube.com/watch?v=TnSfwONWlk8
Electronic,145008,club-bizarre,2011,brooklyn-bounce,Electronic,Welcome to BB Nation Please fasten your seat belts this is real DJ's fans and freaks dance maniacs this is a one to remember Change your frequence Harder faster come to BB Nation listen Maybe we can join the crowd life is poor without sound were the crazy people needs on the street with no name if you wish upon a star there's a place Club Bizarre come together in my dream The place we can be free Club Bizarre Club Bizarre The Club Bizarre the Club Bizarre Harder faster come to BB Nation listen Maybe we can join the crowd life is poor without sound Where the crazy people needs on the street with no names If you wish upon a star there's a place Club Bizarre Come together in my dream This is Club Bizarre Club Bizarre BB Nation The Club Bizarre the Club Bizarre This is Club Bizarre,https://www.youtube.com/watch?v=8BqF8nRSqE8
Electronic,218030,see-her-out,2016,francis-and-the-lights,Electronic,Just give me information Give me information tell me everything Come see me on the phone ring Just give me the headphones turn up everything Oh yeah If you see her out there Climbing a wall Trying to get away Tell her she can't escape Whole damn world is a cage Whole damn world is a cage If you see her out there Behind the wheel Driving getaway Oh god I hope she escapes Whole damn world is a cage But that's just life I lived it twice I treat you right The way you taught me That's just life I lived it twice So I said goodnight Don't say it softly If you see her out there Behind the wheel Driving getaway Oh god I hope she escapes Whole damn world is a cage But that's just life I lived it twice I treat you right The way you taught me That's just life I lived it twice So say goodnight Don't say it softly I lived it twice I treat you right The way you taught me That's just life I lived it twice Whole damn world is a cage Don't say it softly,https://www.youtube.com/watch?v=4Cc1R1QSPuE
Electronic,210293,the-spark,2014,afrojack,Electronic,A little bit of misfit dancing A little bit of jojo dancing A little bit of thoughts of mine coming out The mind of this midnight rambler I can't wait til these tunes of mine get me out of this local jam Get up up on that big stage now Show the world just who the heck I am Ever think you if it all goes right You got something that could change your life Use that moment just to show you're alive Everything is gonna be alright Crashing through the stars alright I'm screaming til the stars collide I'm telling everybody that's right We all got the spark we all got the spark tonight Taking back the way we are 'Cause that's just the way we are I'm crashing through the dark we're alright We all got the spark we all got the spark tonight They say if you look around for something hard enough And you just might find it And there's some around who wanna keep you down But shawty don't be blinded Hey feeling trapped thinking that you can't get out of this humdrum scene Time to turn this thing upside down Show these people what you really mean Ever think that you could lose your mind Could it be the big dream you'll find No more waiting cause it's almost time Everything is gonna be alright Crashing through the stars alright I'm screaming til the stars collide I'm telling everybody that's right We all got the spark we all got the spark tonight Taking back the way we are 'Cause that's just the way we are I'm crashing through the dark we're alright We all got the spark we all got the spark tonight I'mma feel this forever Or even if it's just tonight I can see the thing much clearer Even when I close my eyes Tryna keep myself from falling Tryna get this thing right I gotta do this more often Well well maybe tonight Crashing through the stars alright I'm screaming til the stars collide I'm telling everybody that's right We all got the spark we all got the spark tonight Taking back the way we are 'Cause that's just the way we are I'm crashing through the dark we're alright We all got the spark we all got the spark tonight We all got the spark we all got the spark tonight We all got the spark we all got the spark tonight,https://www.youtube.com/watch?v=IB3lcPjvWLA
Electronic,210305,do-or-die-remix,2014,afrojack,Electronic,In the middle of the night When the angels scream I don't wanna live a life That I believe Time to do or die I will never forget The moment the moment I will never forget The moment And the story goes on on on That's how the story goes You and I'll never die It's a dark embrace In the beginning was a life Of a dawning age Time to be alive I will never forget The moment the moment I will never forget This night we sing we sing on on on That's how the story goes That's how the story goes That's how the story goes That's how the story goes Let it go,https://www.youtube.com/watch?v=W1eYh59VzEs
Electronic,10129,fritz-love-my-tits,2018,e-rotic,Electronic,Hey hey hey Fritz Your key fits nicely My body opens to your touch So ring my bell and just entice me I need your lovin oh so much Cause he's wild and baby when he aims he hits Oh Fritz I know you love my tits Fritz Fritz beat it Fritz So take your fingers off her tits And if she says she loves you too It's a lie oh my it just ain't true Fritz Fritz listen Fritz Don't tell me it's your key that fits You say she's yours but I say well I'm gonna get you down to hell Hey hey hey Fritz Your key fits nicely My body opens to your touch So ring my bell and just entice me I need your lovin oh so much Hey hey hey Fritz I know I thrill you But if you love me please take care Cause if Max dance he'll be will kill you You better watch out for him Fritz Cause he's wild and baby when he aims he hits Oh Fritz I know you love my tits Fritz Fritz shut up Fritz And just stop lovin on the Ritz And don't you think you're big and strong Because of your love no ding a dong Fritz Fritz watch out Fritz You better leave your wife and kids You say she wants you but I say You better move back home and pray Oh Fritz I know you love my tits Oh Fritz ooh Ooh ahhh ahhh ahhh ooh,https://www.youtube.com/watch?v=C75OylltLKA
Electronic,87201,the-joker,2004,fatboy-slim,Electronic,Some people call me the space cowboy Some people call me the gangster of love yeah Some people walking round calling me Maurice 'Cause I speak of the pompitous of love People talk about me baby People talk about me bad to They say I'm doin you wrong doin you wrong doin you wrong Well don't let that worry you baby oh baby 'Cause I'm right here right here right here right here at home Everybody Singing Along 'Cause I'm a picker I'm a grinner I'm a lover And I'm a sinner I play the music in the sun I'm a joker I'm a smoker I'm a midnight toker I give my lovin on the run You're the cutest thing That I ever did see I really love your peaches I want to shake your tree Lovey dovey dovey lovey dovey all the time Ooo eee baby I'm gonna show you a good time babe Cause I'm a picker I'm a grinner I'm a lover And I'm a sinner I play the music in the sun I'm a joker I'm a smoker I'm a midnight toker I sure don't want to hurt no one Come on and follow me You know I really want you for your company Even though I'm attached to you physically My computer mechanism wants you mentally Shoo be doo be doo shoo be You know I really want you for your company Shoo be doo be doo doo be My computer mechanism wants you mentally People keep talking bout me like a low down dog like a low life dog They say I'm doin ya wrong doin ya wrong doin ya wrong Well don't you know don't you worry bout a thing pretty mama Cause I'm right here right here right here singing along Cause I'm a picker I'm a grinner I'm a lover And I'm a sinner I play the music in the sun I'm a joker I'm a smoker An I'm a fa shizzile dizzile ma nizzle fizzle bizzle I give my lovin on the run,https://www.youtube.com/watch?v=hqU11H9_Wqo
Electronic,97951,zero-gravity,2015,borgeous,Electronic,Sometimes the sky is heavy It's coming down on me Sometimes I'm not ready You look at me the way nobody does Nothing can touch us nothing is big enough And oh it doesn't mean much And it feels so nice oh You gotta sweet touch and it feels like And I don't care about nothing you lift me off my feet And when I feel you coming it's zero gravity It's zero gravity it's zero gravity It's zero gravity You lift me on your shoulders There are no borders no maybes and no sures Just weightless I've never felt this And I can't resist I can't I can't resist And I you shook it all off And it feels so nice oh You gotta sweet touch and it feels like And I don't care about nothing you lift me off my feet And when I feel you coming it's zero gravity It's zero gravity it's zero gravity It's zero gravity,https://www.youtube.com/watch?v=IS6AFoxkB38
